
---------- Begin Simulation Statistics ----------
simSeconds                                   0.191637                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total     1640748087                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         4.280885                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                             3367810                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.002053                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads               1315042568                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               466059178                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       465724708                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                2352982699                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites               1085256503                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses       1084932454                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   463878022                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                   1178165368                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                     30740                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                            1059                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          115410                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads      217447856                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      86831326                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads     14216597                       # Number of conflicting loads. (Count)
