
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008065                       # Number of seconds simulated (Second)
system.cpu.MemDepUnit__0.ndepViolations          1823                       # Number of MASCOT non-dependent predictions that violated (Count)
system.cpu.MemDepUnit__0.mdpViolations            125                       # Number of MASCOT MDP predictions that were incorrect (Count)
system.cpu.MemDepUnit__0.smbViolations            319                       # Number of MASCOT SMB predictions that were incorrect (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.readsPath1            293960                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2            150706                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3             48862                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4             96910                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5             21656                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6              3078                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7              8844                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                 0                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1           293960                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2           150706                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3            48862                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4            96910                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5            21656                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6             3078                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7             8844                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8                0                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.falseDependencies            0                       # Number of times load's address didn't match predicted store's address (Count)
system.cpu.MemDepUnit__1.correctPredictions            0                       # Number of times load's address did match predicted store's address (Count)
system.cpu.MemDepUnit__1.predictsNDep               0                       # Number of Non-dependent predictions by Mascot (Count)
system.cpu.MemDepUnit__1.predictsMDP                0                       # Number of MDP predictions by Mascot (Count)
system.cpu.MemDepUnit__1.predictsSMB                0                       # Number of SMB predictions by Mascot (Count)
system.cpu.MemDepUnit__1.ndepViolations             0                       # Number of MASCOT non-dependent predictions that violated (Count)
system.cpu.MemDepUnit__1.mdpViolations              0                       # Number of MASCOT MDP predictions that were incorrect (Count)
system.cpu.MemDepUnit__1.smbViolations              0                       # Number of MASCOT SMB predictions that were incorrect (Count)
system.cpu.MemDepUnit__1.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__1.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__1.readsPath1                 0                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__1.readsPath2                 0                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__1.readsPath3                 0                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__1.readsPath4                 0                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__1.readsPath5                 0                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__1.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__1.readsPath7                 0                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__1.readsPath8                 0                       # Number of reads to path table 8. (Count)
