
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003816                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::VectorIntegerArith            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorFloatArith            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorFloatConvert            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIntegerReduce            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorFloatReduce            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorMisc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIntegerExtension            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       25366840                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         3.323795                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              448968                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.017699                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 33091988                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                13144625                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        12719257                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                 25655492                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                12946066                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses        12467494                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    12771665                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                    13044082                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                     78428                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             866                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           77175                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads        5237366                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       4687251                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads        47473                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores           15                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.predictions          9924540                       # Number of MDP predictions. (Count)
system.cpu.MemDepUnit__0.hits                   47440                       # Number of hits :) (Count)
system.cpu.MemDepUnit__0.no_hits                    0                       # Number of no hits :( (Count)
system.cpu.MemDepUnit__0.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.matching_history            0                       # Number of times committing and issuing branch histories match (Count)
system.cpu.MemDepUnit__0.mismatching_history            0                       # Number of times committing and issuing branch histories mismatch (Count)
system.cpu.MemDepUnit__0.missing_entry              0                       # Number of times hashes and branch history match but entry is not found anyway (Count)
system.cpu.MemDepUnit__0.hash_match                 0                       # Number of times hashes match when branch history match (Count)
system.cpu.MemDepUnit__0.hash_mismatch              0                       # Number of times hashes mismatch when branch history match (Count)
system.cpu.MemDepUnit__0.null_entry                 0                       # Number of times the hash and branch history match but no entry is found anyway. (Count)
system.cpu.MemDepUnit__0.counter_is_zero            0                       # Number of times the hash and branch history match but the found entry has a counter value of zero. (Count)
system.cpu.MemDepUnit__0.store_pc_is_zero            0                       # Number of times the hash and branch history match but the stored store pc is zero. (Count)
system.cpu.MemDepUnit__0.hit_with_history            0                       # Number of times histories match and an entry is found. (Count)
system.cpu.MemDepUnit__0.PHASTMispredictions        15774                       # mispreds (Count)
system.cpu.MemDepUnit__0.PHASTCorrectPredictions        26430                       # correct preds (Count)
system.cpu.MemDepUnit__0.readsPath1              4105                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2             30412                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3              3899                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4              2419                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5              3368                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6               731                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7                63                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                 0                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1             8207                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2            60551                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3             8400                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4             5355                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5             8428                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6             1793                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7              147                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8                0                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.predictions                0                       # Number of MDP predictions. (Count)
system.cpu.MemDepUnit__1.hits                       0                       # Number of hits :) (Count)
system.cpu.MemDepUnit__1.no_hits                    0                       # Number of no hits :( (Count)
system.cpu.MemDepUnit__1.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__1.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__1.matching_history            0                       # Number of times committing and issuing branch histories match (Count)
system.cpu.MemDepUnit__1.mismatching_history            0                       # Number of times committing and issuing branch histories mismatch (Count)
system.cpu.MemDepUnit__1.missing_entry              0                       # Number of times hashes and branch history match but entry is not found anyway (Count)
system.cpu.MemDepUnit__1.hash_match                 0                       # Number of times hashes match when branch history match (Count)
system.cpu.MemDepUnit__1.hash_mismatch              0                       # Number of times hashes mismatch when branch history match (Count)
system.cpu.MemDepUnit__1.null_entry                 0                       # Number of times the hash and branch history match but no entry is found anyway. (Count)
system.cpu.MemDepUnit__1.counter_is_zero            0                       # Number of times the hash and branch history match but the found entry has a counter value of zero. (Count)
system.cpu.MemDepUnit__1.store_pc_is_zero            0                       # Number of times the hash and branch history match but the stored store pc is zero. (Count)
system.cpu.MemDepUnit__1.hit_with_history            0                       # Number of times histories match and an entry is found. (Count)
system.cpu.MemDepUnit__1.PHASTMispredictions            0                       # mispreds (Count)
system.cpu.MemDepUnit__1.PHASTCorrectPredictions            0                       # correct preds (Count)
system.cpu.MemDepUnit__1.readsPath1                 0                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__1.readsPath2                 0                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__1.readsPath3                 0                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__1.readsPath4                 0                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__1.readsPath5                 0                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__1.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__1.readsPath7                 0                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__1.readsPath8                 0                       # Number of reads to path table 8. (Count)
