
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003834                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::VectorWholeRegisterLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIntegerArith            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorFloatArith            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorFloatConvert            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIntegerReduce            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorFloatReduce            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorMisc            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorIntegerExtension            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::VectorConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       25286109                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         3.297683                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              453434                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.017932                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                 33025312                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites                13033382                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        12671170                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                 25601718                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                12841994                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses        12456868                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    12719298                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                    13020184                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                     72894                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             871                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           76127                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads        5219932                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores       4666076                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       178952                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores        68154                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__0.predictions          9885925                       # Number of MDP predictions. (Count)
system.cpu.MemDepUnit__0.hits                  247018                       # Number of hits :) (Count)
system.cpu.MemDepUnit__0.no_hits                    0                       # Number of no hits :( (Count)
system.cpu.MemDepUnit__0.LFSTReads            1444514                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__0.LFSTWrites            235093                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__0.matching_history            0                       # Number of times committing and issuing branch histories match (Count)
system.cpu.MemDepUnit__0.mismatching_history            0                       # Number of times committing and issuing branch histories mismatch (Count)
system.cpu.MemDepUnit__0.missing_entry              0                       # Number of times hashes and branch history match but entry is not found anyway (Count)
system.cpu.MemDepUnit__0.hash_match                 0                       # Number of times hashes match when branch history match (Count)
system.cpu.MemDepUnit__0.hash_mismatch              0                       # Number of times hashes mismatch when branch history match (Count)
system.cpu.MemDepUnit__0.null_entry                 0                       # Number of times the hash and branch history match but no entry is found anyway. (Count)
system.cpu.MemDepUnit__0.counter_is_zero            0                       # Number of times the hash and branch history match but the found entry has a counter value of zero. (Count)
system.cpu.MemDepUnit__0.store_pc_is_zero            0                       # Number of times the hash and branch history match but the stored store pc is zero. (Count)
system.cpu.MemDepUnit__0.hit_with_history            0                       # Number of times histories match and an entry is found. (Count)
system.cpu.MemDepUnit__0.PHASTMispredictions            0                       # mispreds (Count)
system.cpu.MemDepUnit__0.PHASTCorrectPredictions            0                       # correct preds (Count)
system.cpu.MemDepUnit__0.readsPath1                 0                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__0.readsPath2                 0                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__0.readsPath3                 0                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__0.readsPath4                 0                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__0.readsPath5                 0                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__0.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__0.readsPath7                 0                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__0.readsPath8                 0                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__0.writesPath1                0                       # Number of writes to path table 1. (Count)
system.cpu.MemDepUnit__0.writesPath2                0                       # Number of writes to path table 2. (Count)
system.cpu.MemDepUnit__0.writesPath3                0                       # Number of writes to path table 3. (Count)
system.cpu.MemDepUnit__0.writesPath4                0                       # Number of writes to path table 4. (Count)
system.cpu.MemDepUnit__0.writesPath5                0                       # Number of writes to path table 5. (Count)
system.cpu.MemDepUnit__0.writesPath6                0                       # Number of writes to path table 6. (Count)
system.cpu.MemDepUnit__0.writesPath7                0                       # Number of writes to path table 7. (Count)
system.cpu.MemDepUnit__0.writesPath8                0                       # Number of writes to path table 8. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.predictions                0                       # Number of MDP predictions. (Count)
system.cpu.MemDepUnit__1.hits                       0                       # Number of hits :) (Count)
system.cpu.MemDepUnit__1.no_hits                    0                       # Number of no hits :( (Count)
system.cpu.MemDepUnit__1.LFSTReads                  0                       # Number of LFST reads. (Count)
system.cpu.MemDepUnit__1.LFSTWrites                 0                       # Number of LFST writes. (Count)
system.cpu.MemDepUnit__1.matching_history            0                       # Number of times committing and issuing branch histories match (Count)
system.cpu.MemDepUnit__1.mismatching_history            0                       # Number of times committing and issuing branch histories mismatch (Count)
system.cpu.MemDepUnit__1.missing_entry              0                       # Number of times hashes and branch history match but entry is not found anyway (Count)
system.cpu.MemDepUnit__1.hash_match                 0                       # Number of times hashes match when branch history match (Count)
system.cpu.MemDepUnit__1.hash_mismatch              0                       # Number of times hashes mismatch when branch history match (Count)
system.cpu.MemDepUnit__1.null_entry                 0                       # Number of times the hash and branch history match but no entry is found anyway. (Count)
system.cpu.MemDepUnit__1.counter_is_zero            0                       # Number of times the hash and branch history match but the found entry has a counter value of zero. (Count)
system.cpu.MemDepUnit__1.store_pc_is_zero            0                       # Number of times the hash and branch history match but the stored store pc is zero. (Count)
system.cpu.MemDepUnit__1.hit_with_history            0                       # Number of times histories match and an entry is found. (Count)
system.cpu.MemDepUnit__1.PHASTMispredictions            0                       # mispreds (Count)
system.cpu.MemDepUnit__1.PHASTCorrectPredictions            0                       # correct preds (Count)
system.cpu.MemDepUnit__1.readsPath1                 0                       # Number of reads to path table 1. (Count)
system.cpu.MemDepUnit__1.readsPath2                 0                       # Number of reads to path table 2. (Count)
system.cpu.MemDepUnit__1.readsPath3                 0                       # Number of reads to path table 3. (Count)
system.cpu.MemDepUnit__1.readsPath4                 0                       # Number of reads to path table 4. (Count)
system.cpu.MemDepUnit__1.readsPath5                 0                       # Number of reads to path table 5. (Count)
system.cpu.MemDepUnit__1.readsPath6                 0                       # Number of reads to path table 6. (Count)
system.cpu.MemDepUnit__1.readsPath7                 0                       # Number of reads to path table 7. (Count)
system.cpu.MemDepUnit__1.readsPath8                 0                       # Number of reads to path table 8. (Count)
system.cpu.MemDepUnit__1.writesPath1                0                       # Number of writes to path table 1. (Count)
